file_path,lines,size_kb,last_commit,owner,extension
"src/shared/hooks/theme/useTheme.ts",234,12,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/theme/useVisualTheme.ts",9,4,"2025-08-09T09:42:23+02:00","Claude","ts"
"src/shared/hooks/theme/useLayoutTheme.ts",9,4,"2025-08-09T09:42:23+02:00","Claude","ts"
"src/shared/hooks/theme/useThemeStorage.ts",21,4,"2025-08-09T09:42:23+02:00","Claude","ts"
"src/shared/hooks/useDragAndDrop.ts",64,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/types/themeTypes.ts",485,12,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/types/collectionDisplayTypes.ts",115,4,"2025-08-09T09:57:44+02:00","Claude","ts"
"src/shared/types/common.ts",39,4,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/types/ordering.ts",99,4,"2025-08-09T10:10:14+02:00","Claude","ts"
"src/shared/types/searchTypes.ts",20,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/api/genericApiOperations.ts",538,16,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/api/salesApi.ts",227,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/api/activityApi.ts",568,16,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/api/exportApi.ts",688,24,"2025-08-06T16:44:26+02:00","Claude","ts"
"src/shared/api/unifiedApiClient.ts",851,24,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/api/statusApi.ts",70,4,"2025-08-06T16:44:26+02:00","Claude","ts"
"src/shared/api/auctionsApi.ts",251,8,"2025-08-06T16:44:26+02:00","Claude","ts"
"src/shared/api/TypeSafeApiClient.ts",480,16,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/api/dbaSelectionApi.ts",177,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/api/cardsApi.ts",136,4,"2025-08-06T16:44:26+02:00","Claude","ts"
"src/shared/api/uploadApi.ts",269,8,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/api/setProductsApi.ts",196,8,"2025-08-09T10:24:17+02:00","Claude","ts"
"src/shared/api/cardMarket/cardMarketApi.ts",105,4,"2025-08-06T16:27:32+02:00","Claude","ts"
"src/shared/components/organisms/effects/GlassmorphismContainer.tsx",433,16,"2025-08-09T09:36:59+02:00","Claude","tsx"
"src/shared/components/organisms/effects/Context7Background.tsx",60,4,"2025-08-06T12:50:48+02:00","Claude","tsx"
"src/shared/components/organisms/effects/CosmicBackground.tsx",88,4,"2025-08-06T16:21:35+02:00","Claude","tsx"
"src/shared/components/organisms/effects/index.ts",27,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/components/organisms/effects/ParticleSystem.tsx",82,4,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/shared/components/organisms/effects/UnifiedEffectSystem.tsx",547,16,"2025-08-06T19:29:26+02:00","Claude","tsx"
"src/shared/components/organisms/effects/NeuralNetworkBackground.tsx",109,8,"2025-08-06T12:39:38+02:00","Claude","tsx"
"src/shared/components/organisms/ui/ErrorBoundary.tsx",218,8,"2025-08-09T10:15:02+02:00","Claude","tsx"
"src/shared/components/organisms/ui/toastNotifications.ts",173,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/components/organisms/theme/ThemePicker.tsx",233,12,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/organisms/theme/FocusManagementTheme.tsx",122,4,"2025-08-09T09:48:56+02:00","Claude","tsx"
"src/shared/components/organisms/theme/ReducedMotionTheme.tsx",123,4,"2025-08-09T09:48:56+02:00","Claude","tsx"
